RowID,County-Parish,State,Indicator,Date,Year,IndicatorValue
1,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2003 0:00,2003,1
2,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2003 0:00,2003,0.95
3,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2003 0:00,2003,0.75
4,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2003 0:00,2003,0.99
5,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2003 0:00,2003,0.87
6,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2003 0:00,2003,0.82
7,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2003 0:00,2003,0.93
8,Tarrant County,TX,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2003 0:00,2003,0.88
9,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2003 0:00,2003,0.96
10,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2003 0:00,2003,0.88
11,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2003 0:00,2003,0.93
12,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2003 0:00,2003,0.9
13,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2004 0:00,2004,0.99
14,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2004 0:00,2004,0.98
15,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2004 0:00,2004,0.86
16,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2004 0:00,2004,0.98
17,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2004 0:00,2004,0.94
18,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2004 0:00,2004,0.81
19,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2004 0:00,2004,0.98
20,Tarrant County,TX,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2004 0:00,2004,0.92
21,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2004 0:00,2004,0.97
22,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2004 0:00,2004,0.88
23,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2004 0:00,2004,0.93
24,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2004 0:00,2004,0.92
25,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2005 0:00,2005,0.99
26,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2005 0:00,2005,0.95
27,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2005 0:00,2005,0.85
28,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2005 0:00,2005,1
29,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2005 0:00,2005,0.8
30,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2005 0:00,2005,0.75
31,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2005 0:00,2005,0.9
32,Tarrant County,TX,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2005 0:00,2005,0.86
33,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2005 0:00,2005,0.92
34,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2005 0:00,2005,0.84
35,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2005 0:00,2005,0.92
36,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2005 0:00,2005,0.88
37,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2006 0:00,2006,1
38,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2006 0:00,2006,0.92
39,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2006 0:00,2006,0.9
40,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2006 0:00,2006,0.98
41,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2006 0:00,2006,0.91
42,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2006 0:00,2006,0.92
43,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2006 0:00,2006,0.98
44,Tarrant County,TX,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2006 0:00,2006,0.89
45,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2006 0:00,2006,0.98
46,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2006 0:00,2006,0.9
47,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2006 0:00,2006,0.93
48,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2006 0:00,2006,0.93
49,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2007 0:00,2007,1
50,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2007 0:00,2007,0.99
51,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2007 0:00,2007,0.95
52,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2007 0:00,2007,0.99
53,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2007 0:00,2007,0.98
54,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2007 0:00,2007,0.91
55,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2007 0:00,2007,0.99
56,Tarrant County,TX,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2007 0:00,2007,0.94
57,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2007 0:00,2007,0.98
58,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2007 0:00,2007,0.95
59,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2007 0:00,2007,0.98
60,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2007 0:00,2007,0.97
61,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2008 0:00,2008,1
62,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2008 0:00,2008,0.99
63,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2008 0:00,2008,0.95
64,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2008 0:00,2008,0.99
65,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2008 0:00,2008,0.98
66,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2008 0:00,2008,0.91
67,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2008 0:00,2008,0.99
68,Tarrant County,TX,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2008 0:00,2008,0.94
69,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2008 0:00,2008,0.98
70,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2008 0:00,2008,0.95
71,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2008 0:00,2008,0.98
72,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2008 0:00,2008,0.97
73,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2009 0:00,2009,1
74,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2009 0:00,2009,0.99
75,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2009 0:00,2009,0.96
76,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2009 0:00,2009,1
77,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2009 0:00,2009,1
78,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2009 0:00,2009,0.95
79,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2009 0:00,2009,1
80,Tarrant County,TX,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2009 0:00,2009,0.93
81,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2009 0:00,2009,1
82,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2009 0:00,2009,0.98
83,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2009 0:00,2009,0.96
84,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2009 0:00,2009,0.98
85,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2010 0:00,2010,1
86,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2010 0:00,2010,0.99
87,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2010 0:00,2010,0.97
88,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2010 0:00,2010,1
89,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2010 0:00,2010,0.98
90,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2010 0:00,2010,0.89
91,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2010 0:00,2010,1
92,Tarrant County,TX,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2010 0:00,2010,0.96
93,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2010 0:00,2010,0.99
94,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2010 0:00,2010,0.97
95,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",1/1/2010 0:00,2010,0.97
