Year,FacilityNumber,CountyName,TypeOfControl,IncomeStatementItem,IncomeStatementAmount,AmountPerAdjustedPatientDay
2009,106010735,Alameda,District,GR_PT_REV,282813469,5220
2009,106010735,Alameda,District,DED_REV_PLUS_DSH,219753983,4056
2009,106010735,Alameda,District,TOT_CAP_REV,0,0
2009,106010735,Alameda,District,NET_REV_LESS_DSH,63059486,1164
2009,106010735,Alameda,District,OTH_OP_REV,192252,4
2009,106010735,Alameda,District,TOT_OP_EXP,68807234,1270
2009,106010735,Alameda,District,NET_OP_LESS_DSH,-5555496,-103
2009,106010735,Alameda,District,NONOP_REV,6285803,116
2009,106010735,Alameda,District,NONOP_EXP,0,0
2009,106010735,Alameda,District,INC_TAX,0,0
2009,106010735,Alameda,District,EXT_ITEM,0,0
2009,106010735,Alameda,District,NET_INC_LESS_DSH,730307,13
2009,106010735,Alameda,District,OPERATING_MARGIN,-8.78,
2009,106010739,Alameda,Non-Profit,GR_PT_REV,2107269486,12458
2009,106010739,Alameda,Non-Profit,DED_REV_PLUS_DSH,1531844510,9056
2009,106010739,Alameda,Non-Profit,TOT_CAP_REV,0,0
2009,106010739,Alameda,Non-Profit,NET_REV_LESS_DSH,575424976,3402
2009,106010739,Alameda,Non-Profit,OTH_OP_REV,8017165,47
2009,106010739,Alameda,Non-Profit,TOT_OP_EXP,525894295,3109
2009,106010739,Alameda,Non-Profit,NET_OP_LESS_DSH,57547846,340
2009,106010739,Alameda,Non-Profit,NONOP_REV,13809800,82
2009,106010739,Alameda,Non-Profit,NONOP_EXP,4366068,26
2009,106010739,Alameda,Non-Profit,INC_TAX,0,0
2009,106010739,Alameda,Non-Profit,EXT_ITEM,0,0
2009,106010739,Alameda,Non-Profit,NET_INC_LESS_DSH,66991578,396
2009,106010739,Alameda,Non-Profit,OPERATING_MARGIN,9.86,
2009,106010776,Alameda,Non-Profit,GR_PT_REV,932553863,9860
2009,106010776,Alameda,Non-Profit,DED_REV_PLUS_DSH,604083023,6387
2009,106010776,Alameda,Non-Profit,TOT_CAP_REV,8349033,88
2009,106010776,Alameda,Non-Profit,NET_REV_LESS_DSH,336819873,3561
2009,106010776,Alameda,Non-Profit,OTH_OP_REV,70554498,746
2009,106010776,Alameda,Non-Profit,TOT_OP_EXP,427991241,4525
2009,106010776,Alameda,Non-Profit,NET_OP_LESS_DSH,-20616870,-218
2009,106010776,Alameda,Non-Profit,NONOP_REV,11857545,125
2009,106010776,Alameda,Non-Profit,NONOP_EXP,8174345,86
2009,106010776,Alameda,Non-Profit,INC_TAX,0,0
2009,106010776,Alameda,Non-Profit,EXT_ITEM,0,0
2009,106010776,Alameda,Non-Profit,NET_INC_LESS_DSH,-16933670,-179
2009,106010776,Alameda,Non-Profit,OPERATING_MARGIN,-5.06,
2009,106010782,Alameda,Non-Profit,GR_PT_REV,2280319,230
2009,106010782,Alameda,Non-Profit,DED_REV_PLUS_DSH,866374,87
2009,106010782,Alameda,Non-Profit,TOT_CAP_REV,0,0
2009,106010782,Alameda,Non-Profit,NET_REV_LESS_DSH,1413945,142
2009,106010782,Alameda,Non-Profit,OTH_OP_REV,1531668,154
2009,106010782,Alameda,Non-Profit,TOT_OP_EXP,4710357,475
2009,106010782,Alameda,Non-Profit,NET_OP_LESS_DSH,-1764744,-178
2009,106010782,Alameda,Non-Profit,NONOP_REV,313878,32
2009,106010782,Alameda,Non-Profit,NONOP_EXP,0,0
2009,106010782,Alameda,Non-Profit,INC_TAX,0,0
2009,106010782,Alameda,Non-Profit,EXT_ITEM,0,0
2009,106010782,Alameda,Non-Profit,NET_INC_LESS_DSH,-1450866,-146
2009,106010782,Alameda,Non-Profit,OPERATING_MARGIN,-59.91,
2009,106010805,Alameda,Non-Profit,GR_PT_REV,1112786142,12732
2009,106010805,Alameda,Non-Profit,DED_REV_PLUS_DSH,828890362,9484
2009,106010805,Alameda,Non-Profit,TOT_CAP_REV,0,0
2009,106010805,Alameda,Non-Profit,NET_REV_LESS_DSH,283895780,3248
2009,106010805,Alameda,Non-Profit,OTH_OP_REV,7177188,82
2009,106010805,Alameda,Non-Profit,TOT_OP_EXP,276633967,3165
2009,106010805,Alameda,Non-Profit,NET_OP_LESS_DSH,14439001,165
2009,106010805,Alameda,Non-Profit,NONOP_REV,1565300,18
2009,106010805,Alameda,Non-Profit,NONOP_EXP,179936,2
2009,106010805,Alameda,Non-Profit,INC_TAX,0,0
2009,106010805,Alameda,Non-Profit,EXT_ITEM,0,0
2009,106010805,Alameda,Non-Profit,NET_INC_LESS_DSH,15824365,181
2009,106010805,Alameda,Non-Profit,OPERATING_MARGIN,4.96,
2009,106010846,Alameda,City/County,GR_PT_REV,858156875,4984
2009,106010846,Alameda,City/County,DED_REV_PLUS_DSH,486989724,2828
2009,106010846,Alameda,City/County,TOT_CAP_REV,0,0
2009,106010846,Alameda,City/County,NET_REV_LESS_DSH,371167151,2156
2009,106010846,Alameda,City/County,OTH_OP_REV,99188990,576
2009,106010846,Alameda,City/County,TOT_OP_EXP,459963206,2671
2009,106010846,Alameda,City/County,NET_OP_LESS_DSH,10392935,60
2009,106010846,Alameda,City/County,NONOP_REV,6863055,40
2009,106010846,Alameda,City/County,NONOP_EXP,237236,1
